Template Version,Origin Milestone,State,Layer / Asset Group
v0.3,v0.1,INHERITED,Action Slot / Warning
v0.3,v0.1,INHERITED,World Overlay / Path
v0.3,v0.1,INHERITED,World Overlay / Destination
v0.3,v0.1,INHERITED,World Overlay / Target
v0.3,v0.1,INHERITED,World Overlay / AoE
v0.3,v0.1,INHERITED,World Overlay / Facing
v0.3,v0.2,INHERITED,Coordination / Team intent
v0.3,v0.2,INHERITED,Coordination / Labels
v0.3,v0.2,INHERITED,Coordination / Ping
v0.3,v0.2,INHERITED,Coordination / Conflict
v0.3,v0.2,INHERITED,Decision Window / Fast Reaction
v0.3,v0.2,INHERITED,Reaction / FIRE
v0.3,v0.2,INHERITED,Reaction / HOLD
v0.3,v0.2,INHERITED,Reaction / Timeout
v0.3,v0.2,INHERITED,Reaction / Available
v0.3,v0.2,INHERITED,Reaction / Armed
v0.3,v0.2,INHERITED,Reaction / Opportunity
v0.3,v0.2,INHERITED,Reaction / Consumed
v0.3,v0.2,INHERITED,Reaction / Expired
v0.3,v0.2,INHERITED,Reaction / Invalidated
v0.3,v0.2,INHERITED,STOP / YIELD (ONLY if gameplay currently supports them)
v0.3,v0.3,NEW,Intel / Visible
v0.3,v0.3,NEW,Intel / Heard
v0.3,v0.3,NEW,Intel / Last Known
v0.3,v0.3,NEW,Intel / Unknown
v0.3,v0.3,NEW,Intel / Approximate Area
v0.3,v0.3,NEW,Intel / Detected
v0.3,v0.3,NEW,Intel / Facing / focus markers
v0.3,v0.3,NEW,Vision overlay
v0.3,v0.3,NEW,Sound overlay
v0.3,v0.3,NEW,Ghost Intel / Last Known
v0.3,v0.3,NEW,Stealth marker
v0.3,v0.3,NEW,Privacy-safe warning marker
v0.4,v0.1,INHERITED,Identity / Ally
v0.4,v0.1,INHERITED,Identity / Enemy
v0.4,v0.1,INHERITED,Identity / Hero identities (derive from live catalog)
v0.4,v0.1,INHERITED,Phase / Prep
v0.4,v0.1,INHERITED,Phase / Dash
v0.4,v0.1,INHERITED,Phase / Blast
v0.4,v0.1,INHERITED,Phase / Move
v0.4,v0.1,INHERITED,Action / Generic + core actions (derive from live RequiredIconIds)
v0.4,v0.1,INHERITED,Status / current Status.* set (derive from live gameplay tags)
v0.4,v0.1,INHERITED,Certainty / Confirmed
v0.4,v0.1,INHERITED,Certainty / Predicted
v0.4,v0.1,INHERITED,Certainty / Uncertain
v0.4,v0.1,INHERITED,Warning / Invalid plan or target
v0.4,v0.1,INHERITED,Warning / Allied collision
v0.4,v0.1,INHERITED,Warning / Friendly Fire
v0.4,v0.1,INHERITED,Warning / Insufficient resource
v0.4,v0.1,INHERITED,Warning / Target may move / uncertain outcome
v0.4,v0.1,INHERITED,Planning / Confirm
v0.4,v0.1,INHERITED,Planning / Ready
v0.4,v0.1,INHERITED,Planning / Undo
v0.4,v0.1,INHERITED,Action Slot / Available
v0.4,v0.1,INHERITED,Action Slot / Hover
v0.4,v0.1,INHERITED,Action Slot / Selected
v0.4,v0.1,INHERITED,Action Slot / Planned
v0.4,v0.1,INHERITED,Action Slot / Cooldown
v0.4,v0.1,INHERITED,Action Slot / Unavailable
v0.4,v0.1,INHERITED,Action Slot / Invalid
v0.4,v0.1,INHERITED,Action Slot / Warning
v0.4,v0.1,INHERITED,World Overlay / Path
v0.4,v0.1,INHERITED,World Overlay / Destination
v0.4,v0.1,INHERITED,World Overlay / Target
v0.4,v0.1,INHERITED,World Overlay / AoE
v0.4,v0.1,INHERITED,World Overlay / Facing
v0.4,v0.2,INHERITED,Coordination / Team intent
v0.4,v0.2,INHERITED,Coordination / Labels
v0.4,v0.2,INHERITED,Coordination / Ping
v0.4,v0.2,INHERITED,Coordination / Conflict
v0.4,v0.2,INHERITED,Decision Window / Fast Reaction
v0.4,v0.2,INHERITED,Reaction / FIRE
v0.4,v0.2,INHERITED,Reaction / HOLD
v0.4,v0.2,INHERITED,Reaction / Timeout
v0.4,v0.2,INHERITED,Reaction / Available
v0.4,v0.2,INHERITED,Reaction / Armed
v0.4,v0.2,INHERITED,Reaction / Opportunity
v0.4,v0.2,INHERITED,Reaction / Consumed
v0.4,v0.2,INHERITED,Reaction / Expired
v0.4,v0.2,INHERITED,Reaction / Invalidated
v0.4,v0.2,INHERITED,STOP / YIELD (ONLY if gameplay currently supports them)
v0.4,v0.3,INHERITED,Intel / Visible
v0.4,v0.3,INHERITED,Intel / Heard
v0.4,v0.3,INHERITED,Intel / Last Known
v0.4,v0.3,INHERITED,Intel / Unknown
v0.4,v0.3,INHERITED,Intel / Approximate Area
v0.4,v0.3,INHERITED,Intel / Detected
v0.4,v0.3,INHERITED,Intel / Facing / focus markers
v0.4,v0.3,INHERITED,Vision overlay
v0.4,v0.3,INHERITED,Sound overlay
v0.4,v0.3,INHERITED,Ghost Intel / Last Known
v0.4,v0.3,INHERITED,Stealth marker
v0.4,v0.3,INHERITED,Privacy-safe warning marker
v0.4,v0.4,NEW,Camera / Tactical level
v0.4,v0.4,NEW,Camera / Strategic level
v0.4,v0.4,NEW,Layer / Ground
v0.4,v0.4,NEW,Layer / Bridge
v0.4,v0.4,NEW,Layer / Roof
v0.4,v0.4,NEW,Layer / Tunnel
v0.4,v0.4,NEW,Layer / Up
v0.4,v0.4,NEW,Layer / Down
v0.4,v0.4,NEW,MapState / Door Open
v0.4,v0.4,NEW,MapState / Door Closed
v0.4,v0.4,NEW,MapState / Door Locked
v0.4,v0.4,NEW,MapState / Bridge
v0.4,v0.4,NEW,MapState / Tunnel
v0.4,v0.4,NEW,MapState / Elevator
v0.4,v0.4,NEW,Environment / Cover
v0.4,v0.4,NEW,Environment / Height
v0.4,v0.4,NEW,Environment / Water
v0.4,v0.4,NEW,Environment / Fire
v0.4,v0.4,NEW,Environment / Electric
v0.4,v0.4,NEW,Environment / Smoke
v0.4,v0.4,NEW,Environment / Ice
v0.4,v0.4,NEW,Environment / Hazard
v0.5,v0.1,INHERITED,Identity / Ally
v0.5,v0.1,INHERITED,Identity / Enemy
v0.5,v0.1,INHERITED,Identity / Hero identities (derive from live catalog)
v0.5,v0.1,INHERITED,Phase / Prep
v0.5,v0.1,INHERITED,Phase / Dash
v0.5,v0.1,INHERITED,Phase / Blast
v0.5,v0.1,INHERITED,Phase / Move
v0.5,v0.1,INHERITED,Action / Generic + core actions (derive from live RequiredIconIds)
v0.5,v0.1,INHERITED,Status / current Status.* set (derive from live gameplay tags)
v0.5,v0.1,INHERITED,Certainty / Confirmed
v0.5,v0.1,INHERITED,Certainty / Predicted
v0.5,v0.1,INHERITED,Certainty / Uncertain
v0.5,v0.1,INHERITED,Warning / Invalid plan or target
v0.5,v0.1,INHERITED,Warning / Allied collision
v0.5,v0.1,INHERITED,Warning / Friendly Fire
v0.5,v0.1,INHERITED,Warning / Insufficient resource
v0.5,v0.1,INHERITED,Warning / Target may move / uncertain outcome
v0.5,v0.1,INHERITED,Planning / Confirm
v0.5,v0.1,INHERITED,Planning / Ready
v0.5,v0.1,INHERITED,Planning / Undo
v0.5,v0.1,INHERITED,Action Slot / Available
v0.5,v0.1,INHERITED,Action Slot / Hover
v0.5,v0.1,INHERITED,Action Slot / Selected
v0.5,v0.1,INHERITED,Action Slot / Planned
v0.5,v0.1,INHERITED,Action Slot / Cooldown
v0.5,v0.1,INHERITED,Action Slot / Unavailable
v0.5,v0.1,INHERITED,Action Slot / Invalid
v0.5,v0.1,INHERITED,Action Slot / Warning
v0.5,v0.1,INHERITED,World Overlay / Path
v0.5,v0.1,INHERITED,World Overlay / Destination
v0.5,v0.1,INHERITED,World Overlay / Target
v0.5,v0.1,INHERITED,World Overlay / AoE
v0.5,v0.1,INHERITED,World Overlay / Facing
v0.5,v0.2,INHERITED,Coordination / Team intent
v0.5,v0.2,INHERITED,Coordination / Labels
v0.5,v0.2,INHERITED,Coordination / Ping
v0.5,v0.2,INHERITED,Coordination / Conflict
v0.5,v0.2,INHERITED,Decision Window / Fast Reaction
v0.5,v0.2,INHERITED,Reaction / FIRE
v0.5,v0.2,INHERITED,Reaction / HOLD
v0.5,v0.2,INHERITED,Reaction / Timeout
v0.5,v0.2,INHERITED,Reaction / Available
v0.5,v0.2,INHERITED,Reaction / Armed
v0.5,v0.2,INHERITED,Reaction / Opportunity
v0.5,v0.2,INHERITED,Reaction / Consumed
v0.5,v0.2,INHERITED,Reaction / Expired
v0.5,v0.2,INHERITED,Reaction / Invalidated
v0.5,v0.2,INHERITED,STOP / YIELD (ONLY if gameplay currently supports them)
v0.5,v0.3,INHERITED,Intel / Visible
v0.5,v0.3,INHERITED,Intel / Heard
v0.5,v0.3,INHERITED,Intel / Last Known
v0.5,v0.3,INHERITED,Intel / Unknown
v0.5,v0.3,INHERITED,Intel / Approximate Area
v0.5,v0.3,INHERITED,Intel / Detected
v0.5,v0.3,INHERITED,Intel / Facing / focus markers
v0.5,v0.3,INHERITED,Vision overlay
v0.5,v0.3,INHERITED,Sound overlay
v0.5,v0.3,INHERITED,Ghost Intel / Last Known
v0.5,v0.3,INHERITED,Stealth marker
v0.5,v0.3,INHERITED,Privacy-safe warning marker
v0.5,v0.4,INHERITED,Camera / Tactical level
v0.5,v0.4,INHERITED,Camera / Strategic level
v0.5,v0.4,INHERITED,Layer / Ground
v0.5,v0.4,INHERITED,Layer / Bridge
v0.5,v0.4,INHERITED,Layer / Roof
v0.5,v0.4,INHERITED,Layer / Tunnel
v0.5,v0.4,INHERITED,Layer / Up
v0.5,v0.4,INHERITED,Layer / Down
v0.5,v0.4,INHERITED,MapState / Door Open
v0.5,v0.4,INHERITED,MapState / Door Closed
v0.5,v0.4,INHERITED,MapState / Door Locked
v0.5,v0.4,INHERITED,MapState / Bridge
v0.5,v0.4,INHERITED,MapState / Tunnel
v0.5,v0.4,INHERITED,MapState / Elevator
v0.5,v0.4,INHERITED,Environment / Cover
v0.5,v0.4,INHERITED,Environment / Height
v0.5,v0.4,INHERITED,Environment / Water
v0.5,v0.4,INHERITED,Environment / Fire
v0.5,v0.4,INHERITED,Environment / Electric
v0.5,v0.4,INHERITED,Environment / Smoke
v0.5,v0.4,INHERITED,Environment / Ice
v0.5,v0.4,INHERITED,Environment / Hazard
v0.5,v0.5,NEW,Movement / Push
v0.5,v0.5,NEW,Movement / Pull
v0.5,v0.5,NEW,Movement / Knockback
v0.5,v0.5,NEW,Movement / Slide
v0.5,v0.5,NEW,Movement / Throw
v0.5,v0.5,NEW,Movement / Forced Move
v0.5,v0.5,NEW,Preview / Forced movement path
v0.5,v0.5,NEW,Preview / Reaction consequence
v0.5,v0.5,NEW,Objective / Neutral
v0.5,v0.5,NEW,Objective / Capture
v0.5,v0.5,NEW,Objective / Contested
v0.5,v0.5,NEW,Objective / Owned
v0.5,v0.5,NEW,Objective / Locked
v0.5,v0.5,NEW,Objective / Completed
v0.5,v0.5,NEW,Counterplay / Interrupt opportunity
v0.5,v0.5,NEW,Counterplay / Threat
v0.6,v0.1,INHERITED,Identity / Ally
v0.6,v0.1,INHERITED,Identity / Enemy
v0.6,v0.1,INHERITED,Identity / Hero identities (derive from live catalog)
v0.6,v0.1,INHERITED,Phase / Prep
v0.6,v0.1,INHERITED,Phase / Dash
v0.6,v0.1,INHERITED,Phase / Blast
v0.6,v0.1,INHERITED,Phase / Move
v0.6,v0.1,INHERITED,Action / Generic + core actions (derive from live RequiredIconIds)
v0.6,v0.1,INHERITED,Status / current Status.* set (derive from live gameplay tags)
v0.6,v0.1,INHERITED,Certainty / Confirmed
v0.6,v0.1,INHERITED,Certainty / Predicted
v0.6,v0.1,INHERITED,Certainty / Uncertain
v0.6,v0.1,INHERITED,Warning / Invalid plan or target
v0.6,v0.1,INHERITED,Warning / Allied collision
v0.6,v0.1,INHERITED,Warning / Friendly Fire
v0.6,v0.1,INHERITED,Warning / Insufficient resource
v0.6,v0.1,INHERITED,Warning / Target may move / uncertain outcome
v0.6,v0.1,INHERITED,Planning / Confirm
v0.6,v0.1,INHERITED,Planning / Ready
v0.6,v0.1,INHERITED,Planning / Undo
v0.6,v0.1,INHERITED,Action Slot / Available
v0.6,v0.1,INHERITED,Action Slot / Hover
v0.6,v0.1,INHERITED,Action Slot / Selected
v0.6,v0.1,INHERITED,Action Slot / Planned
v0.6,v0.1,INHERITED,Action Slot / Cooldown
v0.6,v0.1,INHERITED,Action Slot / Unavailable
v0.6,v0.1,INHERITED,Action Slot / Invalid
v0.6,v0.1,INHERITED,Action Slot / Warning
v0.6,v0.1,INHERITED,World Overlay / Path
v0.6,v0.1,INHERITED,World Overlay / Destination
v0.6,v0.1,INHERITED,World Overlay / Target
v0.6,v0.1,INHERITED,World Overlay / AoE
v0.6,v0.1,INHERITED,World Overlay / Facing
v0.6,v0.2,INHERITED,Coordination / Team intent
v0.6,v0.2,INHERITED,Coordination / Labels
v0.6,v0.2,INHERITED,Coordination / Ping
v0.6,v0.2,INHERITED,Coordination / Conflict
v0.6,v0.2,INHERITED,Decision Window / Fast Reaction
v0.6,v0.2,INHERITED,Reaction / FIRE
v0.6,v0.2,INHERITED,Reaction / HOLD
v0.6,v0.2,INHERITED,Reaction / Timeout
v0.6,v0.2,INHERITED,Reaction / Available
v0.6,v0.2,INHERITED,Reaction / Armed
v0.6,v0.2,INHERITED,Reaction / Opportunity
v0.6,v0.2,INHERITED,Reaction / Consumed
v0.6,v0.2,INHERITED,Reaction / Expired
v0.6,v0.2,INHERITED,Reaction / Invalidated
v0.6,v0.2,INHERITED,STOP / YIELD (ONLY if gameplay currently supports them)
v0.6,v0.3,INHERITED,Intel / Visible
v0.6,v0.3,INHERITED,Intel / Heard
v0.6,v0.3,INHERITED,Intel / Last Known
v0.6,v0.3,INHERITED,Intel / Unknown
v0.6,v0.3,INHERITED,Intel / Approximate Area
v0.6,v0.3,INHERITED,Intel / Detected
v0.6,v0.3,INHERITED,Intel / Facing / focus markers
v0.6,v0.3,INHERITED,Vision overlay
v0.6,v0.3,INHERITED,Sound overlay
v0.6,v0.3,INHERITED,Ghost Intel / Last Known
v0.6,v0.3,INHERITED,Stealth marker
v0.6,v0.3,INHERITED,Privacy-safe warning marker
v0.6,v0.4,INHERITED,Camera / Tactical level
v0.6,v0.4,INHERITED,Camera / Strategic level
v0.6,v0.4,INHERITED,Layer / Ground
v0.6,v0.4,INHERITED,Layer / Bridge
v0.6,v0.4,INHERITED,Layer / Roof
v0.6,v0.4,INHERITED,Layer / Tunnel
v0.6,v0.4,INHERITED,Layer / Up
v0.6,v0.4,INHERITED,Layer / Down
v0.6,v0.4,INHERITED,MapState / Door Open
v0.6,v0.4,INHERITED,MapState / Door Closed
v0.6,v0.4,INHERITED,MapState / Door Locked
v0.6,v0.4,INHERITED,MapState / Bridge
v0.6,v0.4,INHERITED,MapState / Tunnel
v0.6,v0.4,INHERITED,MapState / Elevator
v0.6,v0.4,INHERITED,Environment / Cover
v0.6,v0.4,INHERITED,Environment / Height
v0.6,v0.4,INHERITED,Environment / Water
v0.6,v0.4,INHERITED,Environment / Fire
v0.6,v0.4,INHERITED,Environment / Electric
v0.6,v0.4,INHERITED,Environment / Smoke
v0.6,v0.4,INHERITED,Environment / Ice
v0.6,v0.4,INHERITED,Environment / Hazard
v0.6,v0.5,INHERITED,Movement / Push
v0.6,v0.5,INHERITED,Movement / Pull
v0.6,v0.5,INHERITED,Movement / Knockback
v0.6,v0.5,INHERITED,Movement / Slide
v0.6,v0.5,INHERITED,Movement / Throw
v0.6,v0.5,INHERITED,Movement / Forced Move
v0.6,v0.5,INHERITED,Preview / Forced movement path
v0.6,v0.5,INHERITED,Preview / Reaction consequence
v0.6,v0.5,INHERITED,Objective / Neutral
v0.6,v0.5,INHERITED,Objective / Capture
v0.6,v0.5,INHERITED,Objective / Contested
v0.6,v0.5,INHERITED,Objective / Owned
v0.6,v0.5,INHERITED,Objective / Locked
v0.6,v0.5,INHERITED,Objective / Completed
v0.6,v0.5,INHERITED,Counterplay / Interrupt opportunity
v0.6,v0.5,INHERITED,Counterplay / Threat
v0.6,v0.6,NEW,Scenario Composer / Add
v0.6,v0.6,NEW,Scenario Composer / Remove
v0.6,v0.6,NEW,Scenario Composer / Validate
v0.6,v0.6,NEW,Scenario Composer / Spawn
v0.6,v0.6,NEW,Scenario Composer / Objective
v0.6,v0.6,NEW,Skill Workbench / Target
v0.6,v0.6,NEW,Skill Workbench / Geometry
v0.6,v0.6,NEW,Skill Workbench / Effect
v0.6,v0.6,NEW,Skill Workbench / Requirement
v0.6,v0.6,NEW,Skill Workbench / Cost
v0.6,v0.6,NEW,Skill Workbench / Cooldown
v0.6,v0.6,NEW,Character Setup / Slot
v0.6,v0.6,NEW,Character Setup / Talent
v0.6,v0.6,NEW,Character Setup / Gadget
v0.6,v0.6,NEW,Character Setup / Specialization
v0.6,v0.6,NEW,Content Preview / Valid
v0.6,v0.6,NEW,Content Preview / Warning
v0.6,v0.6,NEW,Content Preview / Invalid
v0.7,v0.1,INHERITED,Identity / Ally
v0.7,v0.1,INHERITED,Identity / Enemy
v0.7,v0.1,INHERITED,Identity / Hero identities (derive from live catalog)
v0.7,v0.1,INHERITED,Phase / Prep
v0.7,v0.1,INHERITED,Phase / Dash
v0.7,v0.1,INHERITED,Phase / Blast
v0.7,v0.1,INHERITED,Phase / Move
v0.7,v0.1,INHERITED,Action / Generic + core actions (derive from live RequiredIconIds)
v0.7,v0.1,INHERITED,Status / current Status.* set (derive from live gameplay tags)
v0.7,v0.1,INHERITED,Certainty / Confirmed
v0.7,v0.1,INHERITED,Certainty / Predicted
v0.7,v0.1,INHERITED,Certainty / Uncertain
v0.7,v0.1,INHERITED,Warning / Invalid plan or target
v0.7,v0.1,INHERITED,Warning / Allied collision
v0.7,v0.1,INHERITED,Warning / Friendly Fire
v0.7,v0.1,INHERITED,Warning / Insufficient resource
v0.7,v0.1,INHERITED,Warning / Target may move / uncertain outcome
v0.7,v0.1,INHERITED,Planning / Confirm
v0.7,v0.1,INHERITED,Planning / Ready
v0.7,v0.1,INHERITED,Planning / Undo
v0.7,v0.1,INHERITED,Action Slot / Available
v0.7,v0.1,INHERITED,Action Slot / Hover
v0.7,v0.1,INHERITED,Action Slot / Selected
v0.7,v0.1,INHERITED,Action Slot / Planned
v0.7,v0.1,INHERITED,Action Slot / Cooldown
v0.7,v0.1,INHERITED,Action Slot / Unavailable
v0.7,v0.1,INHERITED,Action Slot / Invalid
v0.7,v0.1,INHERITED,Action Slot / Warning
v0.7,v0.1,INHERITED,World Overlay / Path
v0.7,v0.1,INHERITED,World Overlay / Destination
v0.7,v0.1,INHERITED,World Overlay / Target
v0.7,v0.1,INHERITED,World Overlay / AoE
v0.7,v0.1,INHERITED,World Overlay / Facing
v0.7,v0.2,INHERITED,Coordination / Team intent
v0.7,v0.2,INHERITED,Coordination / Labels
v0.7,v0.2,INHERITED,Coordination / Ping
v0.7,v0.2,INHERITED,Coordination / Conflict
v0.7,v0.2,INHERITED,Decision Window / Fast Reaction
v0.7,v0.2,INHERITED,Reaction / FIRE
v0.7,v0.2,INHERITED,Reaction / HOLD
v0.7,v0.2,INHERITED,Reaction / Timeout
v0.7,v0.2,INHERITED,Reaction / Available
v0.7,v0.2,INHERITED,Reaction / Armed
v0.7,v0.2,INHERITED,Reaction / Opportunity
v0.7,v0.2,INHERITED,Reaction / Consumed
v0.7,v0.2,INHERITED,Reaction / Expired
v0.7,v0.2,INHERITED,Reaction / Invalidated
v0.7,v0.2,INHERITED,STOP / YIELD (ONLY if gameplay currently supports them)
v0.7,v0.3,INHERITED,Intel / Visible
v0.7,v0.3,INHERITED,Intel / Heard
v0.7,v0.3,INHERITED,Intel / Last Known
v0.7,v0.3,INHERITED,Intel / Unknown
v0.7,v0.3,INHERITED,Intel / Approximate Area
v0.7,v0.3,INHERITED,Intel / Detected
v0.7,v0.3,INHERITED,Intel / Facing / focus markers
v0.7,v0.3,INHERITED,Vision overlay
v0.7,v0.3,INHERITED,Sound overlay
v0.7,v0.3,INHERITED,Ghost Intel / Last Known
v0.7,v0.3,INHERITED,Stealth marker
v0.7,v0.3,INHERITED,Privacy-safe warning marker
v0.7,v0.4,INHERITED,Camera / Tactical level
v0.7,v0.4,INHERITED,Camera / Strategic level
v0.7,v0.4,INHERITED,Layer / Ground
v0.7,v0.4,INHERITED,Layer / Bridge
v0.7,v0.4,INHERITED,Layer / Roof
v0.7,v0.4,INHERITED,Layer / Tunnel
v0.7,v0.4,INHERITED,Layer / Up
v0.7,v0.4,INHERITED,Layer / Down
v0.7,v0.4,INHERITED,MapState / Door Open
v0.7,v0.4,INHERITED,MapState / Door Closed
v0.7,v0.4,INHERITED,MapState / Door Locked
v0.7,v0.4,INHERITED,MapState / Bridge
v0.7,v0.4,INHERITED,MapState / Tunnel
v0.7,v0.4,INHERITED,MapState / Elevator
v0.7,v0.4,INHERITED,Environment / Cover
v0.7,v0.4,INHERITED,Environment / Height
v0.7,v0.4,INHERITED,Environment / Water
v0.7,v0.4,INHERITED,Environment / Fire
v0.7,v0.4,INHERITED,Environment / Electric
v0.7,v0.4,INHERITED,Environment / Smoke
v0.7,v0.4,INHERITED,Environment / Ice
v0.7,v0.4,INHERITED,Environment / Hazard
v0.7,v0.5,INHERITED,Movement / Push
v0.7,v0.5,INHERITED,Movement / Pull
v0.7,v0.5,INHERITED,Movement / Knockback
v0.7,v0.5,INHERITED,Movement / Slide
v0.7,v0.5,INHERITED,Movement / Throw
v0.7,v0.5,INHERITED,Movement / Forced Move
v0.7,v0.5,INHERITED,Preview / Forced movement path
v0.7,v0.5,INHERITED,Preview / Reaction consequence
v0.7,v0.5,INHERITED,Objective / Neutral
v0.7,v0.5,INHERITED,Objective / Capture
v0.7,v0.5,INHERITED,Objective / Contested
v0.7,v0.5,INHERITED,Objective / Owned
v0.7,v0.5,INHERITED,Objective / Locked
v0.7,v0.5,INHERITED,Objective / Completed
v0.7,v0.5,INHERITED,Counterplay / Interrupt opportunity
v0.7,v0.5,INHERITED,Counterplay / Threat
v0.7,v0.6,INHERITED,Scenario Composer / Add
v0.7,v0.6,INHERITED,Scenario Composer / Remove
v0.7,v0.6,INHERITED,Scenario Composer / Validate
